Date,Description,Amount,Type,Transaction_ID,Category,Account,Source,Tags,Linked_Recurring_ID,Linked_Loan_ID
2025-07-23 12:00:00,BELL MOBILITY,-114.03,expense,90000010020250723C001044031CD,Bills & Utilities,RBC - SAVINGS,ofx70522.qfx,,,
2025-07-24 12:00:00,WWW TRANSFER - 0623,142.0,income,90000010020250724C001012C6DCB,Income,RBC - SAVINGS,ofx70522.qfx,,,
2025-07-30 12:00:00,Fit4less,-15.81,expense,90000010020250730C001CF707BC5,Personal Care,RBC - SAVINGS,ofx70522.qfx,"recurring,subscription",0.0,
2025-07-30 12:00:00,PAYPAL,-77.81,expense,90000010020250730C001F03C58EA,Other,RBC - SAVINGS,ofx70522.qfx,,,
2025-07-31 12:00:00,E-TRANSFER SENT,-1500.0,expense,90000010020250731C0016D17920F,Other,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-01 12:00:00,WWW TRANSFER - 3222,1500.0,income,90000010020250801C001751E1A47,Income,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-04 12:00:00,WWW TRANSFER - 8483,140.0,income,90000010020250804C001962205A2,Income,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-04 12:00:00,REMITLY* GC950,-131.91,expense,90000010020250804C001F1F82F0C,Other,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-05 12:00:00,E-TRANSFER SENT,-32.0,expense,90000010020250805C00151082EFD,Other,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-06 12:00:00,WWW TRANSFER - 9399,150.0,income,90000010020250806C001F1B7C771,Income,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-06 12:00:00,E-TRANSFER SENT,-30.0,expense,90000010020250806C001DAABE130,Other,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-06 12:00:00,COSTCO GAS W127,-40.98,expense,90000010020250806C001F47225A0,Transportation,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-08 12:00:00,PTB WD --- 00040624,-105.0,expense,90000010020250808C001263FF694,Other,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-11 12:00:00,WWW TRANSFER - 2237,150.0,income,90000010020250811C001037020E3,Income,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-13 12:00:00,WWW TRANSFER - 0588,1200.0,income,90000010020250813C0015E3A6686,Income,RBC - SAVINGS,ofx70522.qfx,,,
2025-08-13 12:00:00,Fit4less,-15.81,expense,90000010020250813C0013AFA42D7,Personal Care,RBC - SAVINGS,ofx70522.qfx,"recurring,subscription",0.0,
2025-08-13 12:00:00,E-TRANSFER SENT,-1200.0,expense,90000010020250813C0017E6C7D56,Other,RBC - SAVINGS,ofx70522.qfx,,,
